"id_base","name_base","id_company","number_vehicles"
B01453,ST GEORGE EXPRESS CAR SERVICE INC.,12,61
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,12,61
B01475,MIDWOOD VS INC,12,75
B01478,UNIWORLD BROTHERS ENTERPRISES INC.,12,122
B01506,HOYT LIMO & SVC CORP,12,61
B01509,BRUNWISH ENTERPRISESLTD.,12,141
B01514,LOS ANDES LIMO INC.,12,61
B01522,STM ENTERPRISESINC,12,181
B01536,"",6,35
B01537,S.I. SPEED INC.,12,61
B01546,BELLE ROCK OF BEACH CHANNEL INC.,12,61
B01559,MUNKACS CAR SVC LTD,12,77
B01568,N.Y. MEXICANA CAR & LIMO SVC CRP.,12,31
B01606,LA MEXICANA EXPRESS INC.,12,61
B01608,JERUSALEM CAR COM.INC.,12,122
B01614,R TRANSPORT INC,12,124
B01623,JAMAICA EXPRESS CAR SERVICE INC.,12,122
B01625,GLOBE CAR SERVICE INC,12,121
B01626,LA NUEVA QUISQUEYA C/S INC,12,91
B01631,B.O.B EXPRESS INC,12,2
B01635,HAR-SINAY CAR & LIMO SVC INC,12,101
B01642,VICTORY CAR & LIMO SERVICE INC.,12,40
B01651,U.P.S. RADIO DISPATCH CORP.,12,59
B01653,ARTS PLACE INC.',12,62
B01663,CIBAO RADIO DISPATCH,12,31
B01672,NEW DAYNIGHT CAR SVCE,12,61
B01675,TOWNCAR TRANSPORTATION INC.,12,61
B01678,G WAY TRANSPORT INC.,12,61
B01679,CENTURY CAR SERVICE INC.,12,46
B01717,"",5,71
B01721,W.K. CAR & LIMO SERVICE INC,12,30
B01726,SUPER CLASS RADIO DISP INC,12,122
B01727,CHAUFFEUR SERVICES INC.,12,117
B01730,LUCKY EXPRESS CORPORATION,12,89
B01733,SHMT INC.,12,61
B01734,AMERICAN DREAM CAR SERVICE INC.,12,56
B01738,NEW COMMANDO CAR SERVICE CORP.,12,61
B01741,MONACO LIMO & CAR SERVICES INC.,12,60
B01742,AVALON TRANSPORTATION LLC,12,92
B01751,CONCORDE EXP OF N.Y. INC,12,31
B01777,PREMIUM RADIO DISP & MULTI SVC,12,59
B01779,APEX CAR & LIMO SVCE INC,12,122
B01808,OLD TOWN CARS CORP,12,61
B01818,TA-TA TRANSPORTATION INC.,12,49
B01846,ROMANTIQUE LIMOUSINE INC.,12,80
B01848,GRAND LIMO & CAR SERVICE INC.,12,59
B01849,JOE PAL LIMOUSINE LTD,12,117
B01854,EUROPE LIMOUSINE SERVICE INC,12,61
B01868,LIMO 4 LLC,12,41
B01875,ONLINE LIMOUSINE LLC,12,151
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,12,97
B01877,U.S.A. LIMO. INC.,12,181
B01899,ALLSTATE PRIVATE CAR & LIMOINC,12,181
B01912,CAR 24 TRANSPORTATION INC,12,92
B01913,MIRAGE LIMOUSINE SERVICE INC,12,31
B01923,AVID INTERNATIONAL INC.,12,61
B01928,DISCOVER LIMO INC,12,100
B01949,FIRST CLASS OF NEW YORK INC.,12,56
B01957,ANIMO INC,12,119
B01970,GRAFE STREET SERVICE CORP.,12,91
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,12,61
B01979,DREAMLAND CAR & LIMO.SVC INC.,12,102
B01980,READY TO ROLL TRANSPORTATION INC.,12,26
B01984,NY 88 EXPRESS CORP.,12,182
B01995,NYMEX UNO EXECUTIVE SEDANS INC,12,91
B02003,AVALON CORPORATE CARINC.,12,181
B02016,PLANET LIMOUSINE LLC,12,92
B02021,EASYRIDE CAR SERVICE INC.,12,79
B02022,GOLD SEAL CAR & LIMO INC.,12,120
B02026,A RIDE FOR ALL LLC,12,46
B02034,NEW IMPERIAL CAR SERVICE INC,12,31
B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,12,122
B02073,STARGATE LIMOUSINE INC.,12,88
B02095,COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,12,90
B02096,CET GROUP INC,12,146
B02099,SUNNYS LIMOUSINE SERVICE INC,12,61
B02106,PERFECT LIMO SERVICE INC.,12,98
B02107,APOLLO RADIO DISPATCH INC.,12,59
B02110,OPTIMUM CAR & LIMO INC.,12,91
B02120,HARRISON GLOBAL LLC,12,89
B02127,CONTINENTAL RIDE INC.,12,84
B02133,TWR CAR & LIMO INC.,12,122
B02138,GUADALUPANA CAR LIMO INC,12,30
B02142,ASCENT LIMOUSINE INC.,12,47
B02144,SILVER STAR LIMOUSINES INC.,12,61
B02147,MITA LIMOUSINE INC.,12,212
B02152,KYOEI LIMOUSINE INC.,12,60
B02155,ABA LUXURY CAR INC.,12,122
B02157,REAGAN CONVEYANCE  CORP.,12,91
B02160,"12TH STREET LUXURY CARS INC.",12,49
B02167,MADISON LIMOUSINE INC,12,105
B02175,MURRAYS LIMOUSINE SERVICE INC.,12,51
B02180,PEGASUS TRANSPORT SERVICE INC.,12,30
B02182,FINEST CAR SERVICE LLC,12,103
B02183,BANGLA CAR & LIMO. SERVICE INC.,12,76
B02191,US LIMO SYSTEM INC,12,116
B02196,N & T DOUBLE DIAMOND LIMOUSINES INC.,12,59
B02213,EXPRESS 11 CAR SERVICE INC.,12,61
B02216,"",7,45
B02217,PCS LIMOUSINE INC.,12,122
B02240,NEW APPLE TRANS. INC.,12,91
